Input-Sample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	Pearson-Correlation	RMSE
SRR1420006	0.012300695238207258	0.058241269549261294	0.017921448000029386	0.2763328823207741	0.13557575223403226	0	0.49962795265769566	0	0.4897808093999194	0.9931931590088119
SRR1421262	0.01854106947597336	0.06308205252853424	0.017360669922767368	0.3010598102096633	0.12997895832394452	0	0.4699774395391172	0	0.3597859952649242	0.9953139528644175
SRR1392835	0.010927425576049534	0.0634115156218344	0.015332617055291601	0.32613121361995956	0.12109811555688042	0	0.46309911256998454	0	0.37487791442032947	0.9951429582894361
SRR1471243	0.025441235074743884	0.056033461285796435	0.011938683411255448	0.33125194902398536	0.09031314318560245	0	0.4850215280186164	0	0.35496129979964164	0.995221342576844
SRR1354553	0.01550097008100378	0.10448550437826333	0.017823742992098168	0.7025469875236978	0.15538014453068658	0	0.004262650494250385	0	0.6768976245007612	0.9947454235211296
SRR1339722	0.4369313049774503	0.07296954891715739	0.008708480910106162	0.45022047926157305	0.026501011498168622	0	0.004669174435544478	0.04	0.16112566179332358	0.9992917408126458
SRR1413584	0.033433138582218136	0.09163871542889031	0.016734382625171042	0.5378436054993355	0.09276938909542247	0	0.2275807687689625	0	0.4591043459700191	0.9959986798298179
SRR1076916	0.04275911972589962	0.11301361430703995	0.016615547769614457	0.6490853954043403	0.11746511622336768	0	0.06106120656973802	0	0.6954908688879909	0.9948096181874728
SRR1096736	0	0.12225917081548204	0.013113977546050915	0.8000687354084067	0.06455811623006026	0	0	0	0.6653817846696998	0.9942677349270023
SRR1074790	0.058226323594215146	0.07983123964135361	0.016988801242007454	0.7785181864384739	0.0634954636159627	0.0001	0.002825071373262343	0	0.6663963212277441	0.9944045353449472
SRR1394125	0.015605501416048027	0.0722344048537255	0.011691877379927666	0.43793473323393695	0.07576777038977896	0	0.3867657127265829	0	0.374114481417841	0.9956913767477785
SRR1098450	0.01136781134342704	0.11666139202999336	0.01600571914099022	0.5349026616260967	0.08656601652147912	0	0.23449639933801367	0	0.46709227675398746	0.9958730780677333
SRR1079404	0.002534957410747276	0.07954836958792208	0.013619930418988834	0.40933289527309824	0.08947283873201137	0	0.4054910085772322	0	0.32023285414529884	0.9962429552586163
SRR1500931	0.024885755339304053	0.08335461520976442	0.02817904302195718	0.43243389714699565	0.32148528474969645	0	0.1096614045322822	0	0.5888940569928424	0.9959205637705084
SRR1078465	0.020106343213366674	0.0690824497803824	0.012523556707967546	0.48079769796373234	0.08539832295108823	0	0.33209162938346276	0	0.35881357628702903	0.9962526625385711
SRR1479699	0.03645317128083769	0.11023000102222899	0.021387583651175403	0.6784882523690066	0.13416187423077014	0.001	0.018324959727245963	0	0.26250317308090815	0.9980293461845938
SRR1309403	0.03544403879789677	0.11884687325850607	0.017648855821330692	0.6847420848970897	0.10909821646341601	0	0.03421993076176076	0	0.671264639039654	0.9948901153473761
SRR1475885	0.021925393885698	0.09988029555202307	0.014941568461737434	0.7678980469735311	0.07996947760563336	0	0.015385217521377025	0	0.6941366298409299	0.9942068183124387
SRR1468469	0.017035598203888835	0.09254335562885156	0.022139760361316946	0.4603530608646378	0.19566548722459018	0	0.21226273771671458	0	0.4427686312936452	0.9964293103449211
