Input Sample,CardiacMuscleCell,EndothelialCell,Lymphocytes,Fibroblast,Macrophage,Erythrocyte,FatCell,SmoothMuscleCell,P-value,Pearson Correlation,RMSE
SRR1382591,0,0.001801420464348489,0.011251983209533455,0.34526369085501335,0.08132686629320741,0,0.11991484379813991,0.44044119537975746,0.13131313131313133,0.6261057676008908,0.9136413864030019
SRR1358060,0,0.003943948840147651,0.022785742507443068,0.16049136898795036,0.19249335332068315,0,0.3634459896975324,0.25683959664624334,0.0707070707070707,0.7469046662320298,0.9268019767572113
SRR1414749,0,0,0.01662151271800601,0.24589863900592365,0.15071956795152958,0,0.2196834483627463,0.3670768319617944,0.15151515151515152,0.5985383485830051,0.9294561158127512
SRR1347042,0,0.0017942686144495265,0.015663102353242392,0.2761623314271434,0.13516304272574303,0,0.19902866771970443,0.3721885871597172,0.1414141414141414,0.6030593107847374,0.9264198054510322
SRR1308086,0,0,0.028607988207139157,0.20331878543220608,0.22735188975334616,0.062265796261095394,0.17305979664381657,0.30539574370239664,0.30303030303030304,0.4294659594291854,0.9217349815219126
SRR1084626,0,0,0,0.27426136216875213,0,0,0.17218049852251482,0.5535581393087331,0.18181818181818182,0.5518276473693162,0.9205563797865284
SRR1387494,0,0,0.0013463448749932868,0.4041236965034159,0.0003,0.03579085820775404,0.009287973688158323,0.5491350408986817,0.18181818181818182,0.541601339171543,0.9050172799666619
SRR821846,0,0.1365698931648251,0.0036069073760760955,0.43674888897985886,0.0008,0,0.06416228474055052,0.35810499258420203,0.12121212121212122,0.6915743959415303,0.8999685111141345
SRR821388,0.0033096087832195035,0.005968968461231446,0.04337525977346579,0.35160068972516645,0.3787457381411049,0,0.02244839681400164,0.19455133830181026,0.1919191919191919,0.534390846320233,0.9360665891465948
SRR1472370,0.005804237010743634,0.0038223089572413226,0.0290780231941997,0.27474359346121324,0.24928335449284406,0,0.0026187453882157937,0.43464973749554225,0.1414141414141414,0.6093397911921608,0.9228779557358316
SRR1471312,0,0.11081621261721547,0.0055630429654422615,0.4218032161925361,0.009249237587701338,0,0.02040827016143133,0.4321600204756734,0.12121212121212122,0.6618677388597196,0.900947624984943
SRR1351521,0,0.022014710953178706,0.0010728629007596116,0.41045944067325,0,0,0.2072691051462653,0.35918388032654636,0,0.8556834045417766,0.878823169719388
SRR1072948,0.0010346318558778808,0,0.029456567635363258,0.08397682080560338,0.2890134791287065,0,0.26417031468452623,0.33234818588992276,0.12121212121212122,0.6821135371657135,0.9339755577761002
SRR808752,0,0,0,0.3861474295163291,0,0.0003,0.01616966630117528,0.5973733882213309,0.1414141414141414,0.603703962783404,0.90267314499309
SRR1091622,0,0,0,0.2996060394715018,0,0,0.14642138772486044,0.5539725728036379,0.30303030303030304,0.4209827759991084,0.9373888334021395
SRR1500030,0,0.03783352733190968,0.02352093061118528,0.2369984891292785,0.1635345189639992,0.04638241023892056,0.2433004553775554,0.2484296683471513,0.2727272727272727,0.47239966643754244,0.9264173066266491
SRR1319485,0.0015124390346852104,0,0.016136866248024996,0.16394035367070292,0.12127010233652916,0,0.20236679841642013,0.49477344029363757,0.18181818181818182,0.5462249400405402,0.9337150833932922
SRR1351147,0,0,0.0010032430063428824,0.3085328376813959,0,0,0.23818685213287727,0.45227706717938393,0.13131313131313133,0.625574471135494,0.9133485393717401
SRR1415487,0.003329192314565075,0,0,0.3964545370098343,0,0,0.007012953454122446,0.5932033172214782,0.13131313131313133,0.6293122366390821,0.8979217648490385
SRR1456075,0.01291180817291943,0,0.01211919497802655,0.28099603386688005,0.08120386538596078,0,0.006292041015164306,0.6064770565810489,0.21212121212121213,0.5190416816872725,0.9240379835559656
SRR1086280,0,0.0017610797020579212,0.013578505808560891,0.2856250674662508,0.10824670022161688,0,0.20587378252293703,0.3849148642785765,0.12121212121212122,0.6836166874193237,0.9152391508897181
SRR1339880,0.38321956944977714,0,0.0162532958798753,0.0275943459661391,0.12052079004213073,0,0.019785627226483152,0.4326263714355946,0.6363636363636364,0.18447217641997807,0.9720257875221796
SRR1315739,0,0.005362327943909581,0.035818175963954854,0.24944035749556745,0.3366152673536683,0,0.15112802076311954,0.22163585047978035,0.12121212121212122,0.6906964281444189,0.9272326287602328
SRR1453127,0,0.10332639289051995,0.014418200921339051,0.316491945253756,0.10803228533390673,0,0.1546840962565454,0.3030470793439329,0.10101010101010101,0.698579304271948,0.916834469780646
SRR1401317,0.00412980309650557,0.003546899416936358,0.0259268215185438,0.31192486161827937,0.2157630550253882,0,0.0016907305189725055,0.4370178288053742,0.12121212121212122,0.6602039025809464,0.91362887925425
SRR1327473,0.0011603567622503856,0,0,0.26261274851410427,0,0.0005,0.020742442367616513,0.714952820293869,0.23232323232323232,0.49683226614356546,0.9219196715848696
SRR1416617,0,0.16575268083641287,0.008031777335557152,0.31875524464354377,0.02367948477555011,0,0.10245900237711215,0.38132181003182397,0.0707070707070707,0.7595146672898965,0.9014468233178651
SRR1403980,0.0042493189286837985,0.0436464357365196,0.019424933992246984,0.2857420589612925,0.15739330632646903,0,0.16649985686340193,0.32304408919138616,0.0707070707070707,0.7334930903069377,0.9152461797069309
SRR1098405,0,0.002001328544118458,0.001964897795210899,0.384975838834861,0.0007,0.0002,0.20400149887649252,0.4061267924866715,0.12121212121212122,0.6444753027205729,0.9077698075084452
SRR1435330,0,0.019826985747551304,0.02959530554459465,0.1963938315409026,0.2601144103328814,0,0.20000588009589704,0.29406358673817296,0.12121212121212122,0.6509907512903036,0.9323054046356665
SRR1480501,0,0.004641213212944234,0.03198749150790084,0.2819490358612783,0.2834704373217072,0,0.04307995905215364,0.3548718630440158,0.13131313131313133,0.6302434384832402,0.9242466225309569
