NAME	CMC	END	LYM	SMC	MAC	RBC	ADI
DMTN	25.00000000000001	435.5000000000003	86.49999999999999	14.5	5.000000000000001	165099.99999999988	174.49999999999997
DNAJC6	1626.9999999999998	169.49999999999994	37.99999999999999	55.500000000000014	24.0	486498.0000000002	57.500000000000014
DPT	1.0	1.0	1.0	7.0	1.0	1.0	599.4999999999997
DPYSL3	16564.999999999993	5548.499999999998	3.0	7466.999999999996	62.5	1.0	2486.999999999998
DSC2	2162.9999999999995	2.0	3.0	1.0	769.9999999999998	1.0	10.0
DSG2	5128.000000000002	3.0	11.500000000000004	78.0	5.000000000000001	92.00000000000001	45.00000000000001
DSP	21244.000000000004	13.999999999999996	7.0	1331.9999999999995	16.999999999999996	341.9999999999999	1597.9999999999995
ECSCR	20.000000000000004	4906.999999999999	4.0	66.0	2.0	1.0	20.0
EDIL3	2259.999999999999	579.0	1.0	5537.000000000001	3.0	146.00000000000003	3320.999999999999
EDN1	204.99999999999991	5987.499999999996	20.000000000000004	320.9999999999999	33.99999999999999	1.0	46.50000000000001
EDNRA	3949.9999999999995	3.0	1.0	362.9999999999999	2.0	1.0	900.9999999999999
EFEMP1	907.9999999999994	43458.00000000001	1.0	19366.5	2.0	1.0	2469.499999999998
EFNB3	1283.9999999999995	23.000000000000004	1.0	132.5	2.0	1.0	79.00000000000001
EFS	625.0000000000005	1.0	1.0	103.99999999999999	2.0	1.0	727.0000000000002
EGFL7	252.00000000000006	4716.999999999998	7.0	173.49999999999994	57.99999999999999	1.0	154.0
EGFR	520.0	260.4999999999999	1.0	6640.999999999996	2.0	1.0	3392.4999999999995
EHD2	927.9999999999993	4833.999999999999	3.0	7730.4999999999945	9.999999999999998	1.0	7933.999999999997
ELN	26.999999999999993	8.999999999999998	2.0	715.0000000000002	2.0	1.0	3697.499999999999
EMCN	107.00000000000003	1827.0000000000005	1.0	4.0	1.0	1.0	57.00000000000002
EPB42	27.999999999999993	20.500000000000007	137.5	13.499999999999998	65.0	66946.00000000003	29.999999999999993
EPCAM	277.0000000000001	7.0	2.0	1.0	3.0	5319.000000000003	6.0
EPHA2	814.9999999999994	3055.5	3.0	1285.9999999999995	8.5	1.0	328.5000000000001
EPHA7	1014.9999999999998	6.5	1.0	2.0	1.0	1.0	10.5
ERBB4	2121.0000000000005	2.0	1.0	3.0	2.0	1.0	17.999999999999996
ERG	118.99999999999994	5121.499999999997	2.0	2.0	4.0	1.0	8.999999999999998
ESAM	25.00000000000001	4039.0000000000027	36.5	5.000000000000001	8.0	1.0	4.0
ESM1	22.0	5073.5	3.0	154.50000000000003	1.0	1.0	4.0
ESRRG	863.0000000000002	1.0	2.0	2.0	1.0	1.0	4.5
F13A1	1.0	2.0	8.999999999999998	1.0	1165.5	16.999999999999996	1.0
FABP4	2.0	213.0	1.0	4.0	76.99999999999997	1.0	160093.00000000006
FAM124B	2.0	1398.4999999999998	9.499999999999998	1.0	16.999999999999996	1.0	1.0
FAM159A	4.0	1.0	246.50000000000009	1.0	3.0	1.0	3.0
FAM189A2	823.0000000000002	135.5	1.0	2.0	2.0	1.0	12.000000000000002
FAM30A	1.0	2.0	210.99999999999994	1.0	4.0	16.999999999999996	1.0
FAM46C	83.99999999999997	23.000000000000004	2209.5	115.99999999999999	34.5	1522573.999999997	66.49999999999997
FAM65B	440.0000000000001	2.0	8590.0	8.5	835.9999999999995	16.999999999999996	31.499999999999993
FAP	18.999999999999996	25.999999999999993	1.0	5246.5	7.0	1.0	2094.0
FAT1	11096.0	425.00000000000006	4.0	15645.999999999996	4.0	3661.9999999999995	11403.500000000005
FAT3	2352.0000000000014	5.000000000000001	2.0	105.49999999999999	2.0	1.0	251.0
FBLIM1	1588.9999999999986	3904.499999999998	2.0	3893.0000000000036	14.5	1.0	1405.0
FBLN1	2209.000000000001	18.999999999999996	2.0	3101.999999999999	4.0	1.0	3666.5
FBLN2	1112.9999999999993	49.5	35.0	3541.000000000002	6.0	1.0	15070.999999999985
