InputSample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	PearsonCorrelation	RMSE
GTEX-ZZPU-1026-SM-5E457.1	0.02203715689490615	0.07344229242110382	0	0.34664675523868727	0.016799992342310673	0	0.541073803102992	0	0.35102733934997277	0.9911914029252767
GTEX-WHSE-0726-SM-4RTXA.1	0.05115835809391709	0.07971706470689342	0	0.40441285759289236	0	0	0.4647117196062971	0	0.5720648803172171	0.9869971817231369
GTEX-13U4I-0926-SM-5LU5A.1	0.08271937021766788	0.1455981310875636	0	0.6952706456674407	0.007819187371358153	0	0.06859266565596978	0	0.7321202508848035	0.9879889058142652
GTEX-ZYWO-0426-SM-5SI9A.1	0.03865072388077538	0.07088061884781088	0	0.40511591264948105	0.0017737250697736071	0	0.4835790195521591	0	0.5220358184083806	0.9877665562575354
GTEX-ZPU1-0526-SM-4YCDA.1	0.037146949310332536	0.14190035310790972	0	0.7289205825145528	0.027360046590263566	0	0.06467206847694129	0	0.831332165552769	0.985932574473358
GTEX-13FXS-1126-SM-5IJBB.1	0.07666707891684273	0.13427279370535614	0	0.7847982440889548	0	0	0.004261883288846373	0	0.66219746837687	0.9883467359837754
GTEX-13S7M-2226-SM-5S2WB.1	0.052935068786716964	0.15223727616047375	0	0.7864020381387561	0	0	0.008425616914053155	0	0.7610346597419838	0.9865969267307056
GTEX-13RTJ-0626-SM-5S2NB.1	0.06817770741413888	0.14524740053173082	0	0.744875421171614	0.014534222643038455	0.0003	0.026895535352385577	0.02	0.2861556622552035	0.9949652069955389
GTEX-11GS4-0626-SM-5A5LC.1	0.03755447100371687	0.12683985305483111	0	0.7819483767053043	0.029861563511921235	0	0.02379573572422646	0	0.7982399205730403	0.9859878931672884
GTEX-132AR-1326-SM-5K7YC.1	0.046899256032497776	0.10708539611486993	0	0.513193805228974	0.0013389231986213395	0	0.33148261942503693	0	0.595499582324617	0.9883788120125192
GTEX-ZF3C-1326-SM-5A5MF.1	0.03881621112955636	0.14313241764764967	0	0.7689896494488172	0.014442925976501389	0	0.034618795797475364	0	0.6674985142320102	0.9883291987086531
