InputSample	CMC	END	LYM	SMC	MAC	RBC	ADI	P-value	PearsonCorrelation	RMSE
GTEX-1399U-0626-SM-5J1NZ.1	0.05268720303619377	0.08644072790490358	0	0.3681019414334088	0.0022172878672498553	0	0.490552839758244	0	0.5320734100103335	0.9937952653270409
GTEX-RU72-0226-SM-46MUD.1	0.1152104108776739	0.13649520642579596	0	0.6084752848549808	0	0	0.13981909784154933	0	0.7335739773474224	0.9936709894024248
GTEX-U3ZH-0426-SM-4DXSE.1	0.11084177977797198	0.16243382652823893	0	0.7040346152340194	0	0	0.022689778459769643	0	0.8535110967847042	0.9924831038538661
GTEX-R55G-0426-SM-48FDH.1	0.07201932676811817	0.0896223322598385	0	0.4032093803128773	0.0018534401717465907	0	0.4332955204874195	0	0.46268782344566906	0.9948848687417498
GTEX-U3ZN-0426-SM-4DXSH.1	0.1036476596473412	0.14452863248296177	0	0.6836536142999584	0.0025080327423895404	0	0.065662060827349	0	0.8011185575959736	0.9929463931016493
GTEX-SE5C-0426-SM-4BRUI.1	0.05611079032324233	0.09992242712874164	0	0.39474702889102425	0.002236914702140564	0	0.4469828389548513	0	0.47732121291139146	0.9946598722324926
GTEX-XPVG-0926-SM-4B651.1	0.15082448225154116	0.13493810498658446	0	0.6893177246453671	0	0	0.024919688116507206	0	0.7635067567549858	0.9933149174350944
GTEX-PX3G-3026-SM-48TZR.1	0.08021601549145108	0.12194455502487353	0	0.6426103775345332	0.0060934786809078755	0	0.14913557326823434	0	0.42448838300992175	0.9960084568370648
GTEX-SIU7-0226-SM-4BRX2.1	0.02747933465243472	0.10879831001623595	0.002691883108819476	0.4661753247779402	0.06220375858518478	0	0.33265138885938494	0	0.40249236534864513	0.9959740463058583
GTEX-XV7Q-0626-SM-4BRV5.1	0.1105423555681277	0.14367796450041123	0	0.6311172380842205	0	0	0.11466244184724049	0	0.7035879578028392	0.9938994268030226
GTEX-UJMC-0426-SM-4IHJF.1	0.061796791018540125	0.11947002551946512	0.0006	0.5381148154641385	0.04955745587145199	0	0.23048028524804068	0	0.7431271216738526	0.993464575981914
GTEX-Q2AH-0626-SM-48TZJ.1	0.058348171246279015	0.12052911844933821	0	0.5257273590267972	0.04946967878396699	0	0.24592567249361852	0	0.68441989306691	0.9938954259146189
GTEX-P4PP-3026-SM-3P61O.2	0.06431580509577546	0.08326541103004267	0	0.36556828266773433	0.006069884968926701	0	0.48078061623752083	0.04	0.20718013305492722	0.9973699983708515
GTEX-1IL2U-1126-SM-COH3Q.1	0.0867612456185068	0.14102600049070496	0	0.6261864655234864	0.016933808288484023	0	0.12909248007881777	0	0.8311978104250953	0.9928493329206285
GTEX-1JK1U-0826-SM-CM2S1.1	0.12593255917804547	0.1487831561582456	0	0.6669431129943431	0	0	0.05834117166936579	0	0.8678879545775452	0.9925475362431272
GTEX-YECK-1126-SM-4W1ZQ.1	0.06596577130894304	0.11668240690599167	0	0.537381461798708	0	0	0.27997035998635716	0.03	0.2902032701391692	0.9970043314873895
GTEX-1QAET-0826-SM-E76QR.1	0.08148455490234628	0.13321792057239054	0	0.6082760683077307	0.002677198904769011	0	0.17434425731276343	0	0.7031599474851858	0.9937260806353357
GTEX-1QP29-1326-SM-E6CQ2.1	0.08764319504995176	0.15820446467780258	0	0.7022462507293197	0.0037771068286606632	0	0.04812898271426526	0	0.8593260415073736	0.9923875349860322
GTEX-O5YU-0726-SM-EV792.1	0.04101669337141254	0.09380895237009562	0.001028728693391534	0.5178563796714758	0.09800164869891796	0	0.24828759719470656	0	0.655063175842413	0.9942026883733422
GTEX-1R46S-1026-SM-E8VN3.1	0.07874718449042312	0.15418249958698899	0	0.6807503435607974	0.012797254685557017	0	0.07352271767623338	0	0.7314800101499291	0.9935385859172858
GTEX-1QP2A-0926-SM-E76QU.1	0.10877663555038578	0.1626355515685805	0	0.6816344499410553	0	0	0.04695336293997851	0	0.7344298406450698	0.9935726896338316
GTEX-ZPIC-0326-SM-DO91U.1	0.037378643331828304	0.08074148291098034	0	0.38628855559697584	0.007474159544437002	0	0.4881171586157785	0	0.5486214099109997	0.9935884038846381
GTEX-OHPN-0426-SM-E9TI6.1	0.07516418460136642	0.11740935166209539	0	0.5110038658548647	0	0	0.2964225978816734	0	0.43418903712692153	0.9957228471429723
GTEX-YFC4-0726-SM-62LF6.1	0.10076460184439213	0.08370794392564437	0	0.3960911696940304	0	0	0.4194362845359331	0.03	0.21946214726434332	0.9974087167378433
GTEX-ZZPU-1026-SM-5E457.1	0.05286044068592729	0.08129175931091691	0	0.348880087158275	0.011645046291389391	0	0.5053226665534913	0.01	0.3633237169040256	0.9955855877490091
